feature_id,label,source_name,MQScore,SharedPeaks,MZErrorPPM,library_precursor_mz,library_rt_seconds,curated_name,Compound_Name,name_key,Class,SubClass,Sub_subclass,condition,retain,exclusion_reason
17432,17432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
16178,16178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
11678,11678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
22423,22423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
33361,33361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
24688,24688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
30064,30064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
31014,31014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
19577,19577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
38805,38805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
37992,37992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
39135,39135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
9621,9621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
19155,19155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
23770,23770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
31059,31059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
29506,29506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
7948,7948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
6788,6788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
8332,8332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
18384,18384,"PG(16:0_18:1) - [2,3-dihydroxypropoxy][3-(hexadecanoyloxy)-2-[octadec-9-enoyloxy]propoxy]phosphinic acid",0.740903,7,0.325724,749.533,336.536,NA,PG(16:0/18:1),PG(16:0/18:1),Glycerophospholipid,Phosphatidylglycerol,NA,CTL,TRUE,NA
31926,31926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
30755,30755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
36207,36207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
27921,27921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
35652,35652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
32979,32979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
39443,39443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
38401,38401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
13434,13434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
11457,11457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
3272,3272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
12912,12912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
20575,20575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
33968,33968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
4998,4998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
13462,13462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
23053,23053,GalCer(d18:2/20:1); [M+H]+ C44H82N1O8,0.845366,19,0.486592,752.604,407.604,NA,GalCer(d18:2/20:1),GalCer(d18:2/20:1),Sphingolipid,Sphingolipid,Glycosphingolipid,CTL,TRUE,NA
7415,7415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
23766,23766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
17960,17960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
20420,20420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
