GeneID,GeneName,n_records,tot_phen,best_p
SORBI_3001G457600,Ubiquitin-like domain-containing protein,2,4,3.447118e-10
SORBI_3008G103200,Prolyl endopeptidase,2,3,3.94205e-10
SORBI_3004G140300,7-dehydrocholesterol reductase,2,2,4.396448e-10
SORBI_3004G140400,DNA2_NAM7 helicase-like C-terminal domain-containing protein,2,2,4.396448e-10
SORBI_3004G140501,BED-type domain-containing protein,2,2,4.396448e-10
SORBI_3004G140600,Exonuclease domain-containing protein,2,2,4.396448e-10
SORBI_3004G259101,Rho GDP-dissociation inhibitor 1,2,2,4.644674e-10
SORBI_3005G012200,non-specific serine_threonine protein kinase,3,4,5.638375e-10
SORBI_3005G013600,WRKY domain-containing protein,3,3,5.638375e-10
SORBI_3006G244100,DUF295 domain-containing protein,3,4,5.861319e-10
SORBI_3010G141001,C-terminal associated domain-containing protein,2,3,6.119557e-10
SORBI_3005G220200,Uncharacterized protein,2,5,6.126551e-10
SORBI_3009G237100,"Sodium_metabolite cotransporter BASS4, chloroplastic",2,2,6.965395e-10
SORBI_3009G237200,60S ribosomal protein L13,2,2,6.965395e-10
SORBI_3009G237400,Timeless N-terminal domain-containing protein,2,2,6.965395e-10
SORBI_3003G368300,BZIP domain-containing protein,2,2,7.022179e-10
SORBI_3003G166500,NAD-dependent epimerase_dehydratase domain-containing protein,2,3,7.077691e-10
SORBI_3010G126400,Peptidase A1 domain-containing protein,2,5,7.169849e-10
SORBI_3005G225200,DUF1618 domain-containing protein,2,2,7.378797e-10
SORBI_3001G285800,Uncharacterized protein,2,2,7.420687e-10
SORBI_3008G104100,Uncharacterized protein,2,2,7.929619e-10
SORBI_3004G103800,NA,2,2,8.011247e-10
SORBI_3004G103901,Berberine_berberine-like domain-containing protein,2,2,8.011247e-10
SORBI_3004G104100,NA,2,2,8.011247e-10
SORBI_3004G104200,Berberine_berberine-like domain-containing protein,2,2,8.011247e-10
SORBI_3004G104250,Pentacotripeptide-repeat region of PRORP domain-containing protein,2,2,8.011247e-10
SORBI_3004G104300,NA,2,2,8.011247e-10
SORBI_3003G366850,Uncharacterized protein,2,2,1.103826e-9
SORBI_3010G141400,Toprim domain-containing protein,2,4,1.155804e-9
SORBI_3009G220500,NA,2,2,1.222343e-9
