Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
MF	Class sums and ratios	LIN	MGDG	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	112.32	3.39e-05	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	MGDG	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	45.76	0.000312	0.00022	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	MGDG	iron ion binding	GO:0005506	6	433	2	5.71	0.00352	0.00606	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900;SORBI_3006G183900
MF	Class sums and ratios	LIN	MGDG	transcription coregulator activity	GO:0003712	2	57	2	14.45	0.0291	0.0156	SORBI_3003G407200;SORBI_3004G006600
MF	Class sums and ratios	LIN	MGDG	copper ion binding	GO:0005507	2	68	1	12.11	0.0373	0.036	SORBI_3003G088800;SORBI_3003G088900
MF	Class sums and ratios	LIN	PA	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	275.18	9.02e-06	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PA	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	112.11	3.39e-05	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PA	iron ion binding	GO:0005506	5	433	1	11.65	0.000402	0.00553	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PC	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	323.74	8.08e-06	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PC	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	131.9	2.58e-05	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PC	iron ion binding	GO:0005506	5	433	1	13.71	0.000204	0.00426	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PE	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	183.45	2.4e-05	0.00022	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PE	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	74.74	0.000105	0.000258	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PE	iron ion binding	GO:0005506	5	433	1	7.77	0.00278	0.0107	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PE	copper ion binding	GO:0005507	2	68	1	19.78	0.0196	0.023	SORBI_3003G088800;SORBI_3003G088900
MF	Class sums and ratios	LIN	PG	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	110.07	3.39e-05	0.000258	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PG	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	44.84	0.000318	0.000577	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	PG	iron ion binding	GO:0005506	6	433	2	5.59	0.00381	0.00648	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900;SORBI_3006G183900
MF	Class sums and ratios	LIN	PG	transcription coregulator activity	GO:0003712	2	57	2	14.16	0.0291	0.017	SORBI_3003G407200;SORBI_3004G006600
