condition	LayerGroup	GeneID	Recurrence
CTL	combined	SORBI_3003G357232	3
CTL	combined	SORBI_3003G358150	3
CTL	combined	SORBI_3003G358300	3
CTL	combined	SORBI_3003G358400	3
CTL	combined	SORBI_3003G360500	3
CTL	combined	SORBI_3003G360700	3
CTL	combined	SORBI_3003G361100	3
CTL	combined	SORBI_3004G135300	3
CTL	combined	SORBI_3004G136100	3
CTL	combined	SORBI_3004G136200	3
CTL	combined	SORBI_3004G136300	3
CTL	combined	SORBI_3004G141800	3
CTL	combined	SORBI_3004G228400	3
CTL	combined	SORBI_3005G160100	3
CTL	combined	SORBI_3005G184050	3
CTL	combined	SORBI_3005G202500	3
CTL	combined	SORBI_3005G219900	3
CTL	combined	SORBI_3005G220101	3
CTL	combined	SORBI_3005G220200	3
CTL	combined	SORBI_3005G220300	3
CTL	combined	SORBI_3005G220400	3
CTL	combined	SORBI_3005G220500	3
CTL	combined	SORBI_3005G220560	3
CTL	combined	SORBI_3005G220680	3
CTL	combined	SORBI_3005G220740	3
CTL	combined	SORBI_3005G220800	3
CTL	combined	SORBI_3005G222650	3
CTL	combined	SORBI_3005G222700	3
CTL	combined	SORBI_3005G222800	3
CTL	combined	SORBI_3005G222900	3
CTL	combined	SORBI_3006G037000	3
CTL	combined	SORBI_3006G037050	3
CTL	combined	SORBI_3006G037100	3
CTL	combined	SORBI_3006G037700	3
CTL	combined	SORBI_3006G037800	3
CTL	combined	SORBI_3006G038000	3
CTL	combined	SORBI_3006G038050	3
CTL	combined	SORBI_3006G038700	3
CTL	combined	SORBI_3006G044100	3
CTL	combined	SORBI_3006G044200	3
CTL	combined	SORBI_3006G044301	3
CTL	combined	SORBI_3006G130700	3
CTL	combined	SORBI_3006G140700	3
CTL	combined	SORBI_3006G258000	3
CTL	combined	SORBI_3006G258100	3
CTL	combined	SORBI_3006G258900	3
CTL	combined	SORBI_3007G112700	3
CTL	combined	SORBI_3008G189200	3
CTL	combined	SORBI_3010G125400	3
CTL	combined	SORBI_3010G125500	3
CTL	combined	SORBI_3010G125700	3
CTL	combined	SORBI_3010G125866	3
CTL	combined	SORBI_3010G125900	3
CTL	combined	SORBI_3010G126100	3
CTL	combined	SORBI_3010G126300	3
CTL	combined	SORBI_3010G126400	3
CTL	combined	SORBI_3010G134400	3
CTL	combined	SORBI_3010G134500	3
CTL	combined	SORBI_3010G134801	3
CTL	combined	SORBI_3010G134900	3
CTL	combined	SORBI_3010G140500	3
CTL	combined	SORBI_3010G140750	3
CTL	combined	SORBI_3010G141400	3
CTL	combined	SORBI_3010G147250	3
CTL	combined	SORBI_3010G147300	3
CTL	combined	SORBI_3010G147350	3
CTL	combined	SORBI_3010G147500	3
CTL	combined	SORBI_3010G147833	3
CTL	combined	SORBI_3010G147966	3
CTL	combined	SORBI_3010G191100	3
CTL	combined	SORBI_3001G021900	2
CTL	combined	SORBI_3001G022000	2
CTL	combined	SORBI_3001G022100	2
CTL	combined	SORBI_3001G022200	2
CTL	combined	SORBI_3001G022500	2
CTL	combined	SORBI_3001G022600	2
CTL	combined	SORBI_3001G022900	2
CTL	combined	SORBI_3001G222550	2
CTL	combined	SORBI_3001G318500	2
CTL	combined	SORBI_3001G318600	2
CTL	combined	SORBI_3001G318700	2
CTL	combined	SORBI_3001G319000	2
CTL	combined	SORBI_3001G319300	2
CTL	combined	SORBI_3001G319350	2
CTL	combined	SORBI_3001G319500	2
CTL	combined	SORBI_3001G319650	2
CTL	combined	SORBI_3001G319800	2
CTL	combined	SORBI_3001G320000	2
CTL	combined	SORBI_3001G320200	2
