Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
BP	Individual lipid species	LIN	TG	lipid oxidation	GO:0034440	3	12	2	9.29	0.0538	0.0405	SORBI_3001G125800;SORBI_3003G385500;SORBI_3003G385900
BP	Individual lipid species	LIN	TG	ribosomal large subunit assembly	GO:0000027	2	9	2	8.26	0.113	0.0405	SORBI_3001G033000;SORBI_3009G040500
BP	Individual lipid species	LIN	TG	phospholipid transport	GO:0015914	3	21	3	5.31	0.113	0.0405	SORBI_3001G118300;SORBI_3001G251200;SORBI_3010G171000
BP	Individual lipid species	LIN	TG	mitochondrion organization	GO:0007005	3	24	3	4.65	0.12	0.0405	SORBI_3001G042200;SORBI_3001G127500;SORBI_3001G134400
BP	Individual lipid species	LIN	TG	calcium ion transmembrane transport	GO:0070588	4	41	3	3.63	0.116	0.0405	SORBI_3001G103300;SORBI_3002G253800;SORBI_3003G184765;SORBI_3003G184800
BP	Individual lipid species	LIN	TG	intracellular signal transduction	GO:0035556	7	137	7	1.9	0.228	0.0405	SORBI_3001G117200;SORBI_3002G114800;SORBI_3002G117100;SORBI_3005G220200;SORBI_3008G015600;SORBI_3008G077600;SORBI_3009G038900
BP	Individual lipid species	LIN	TG	regulation of DNA-templated transcription	GO:0006355	36	1464	28	0.91	0.833	0.0405	SORBI_3001G030800;SORBI_3001G034300;SORBI_3001G036800;SORBI_3001G037000;SORBI_3001G040900;SORBI_3001G102300;SORBI_3001G106000;SORBI_3001G106200;SORBI_3001G116900;SORBI_3001G127800;SORBI_3001G183100;SORBI_3001G286700;SORBI_3002G050700;SORBI_3002G114200;SORBI_3002G116600;SORBI_3002G221400;SORBI_3002G253000;SORBI_3003G040800;SORBI_3003G041400;SORBI_3003G081000;SORBI_3003G186200;SORBI_3003G200700;SORBI_3003G385100;SORBI_3004G126900;SORBI_3004G184200;SORBI_3007G011900;SORBI_3007G013800;SORBI_3008G072800;SORBI_3008G072900;SORBI_3008G082000;SORBI_3008G088848;SORBI_3008G149650;SORBI_3009G077100;SORBI_3009G083800;SORBI_3010G116200;SORBI_3010G170600
BP	Individual lipid species	LIN	TG	anther dehiscence	GO:0009901	2	6	2	12.39	0.0916	0.048	SORBI_3001G045400;SORBI_3001G106200
BP	Individual lipid species	LIN	TG	transcription-coupled nucleotide-excision repair	GO:0006283	2	8	2	9.29	0.113	0.048	SORBI_3002G374200;SORBI_3003G107500
BP	Individual lipid species	LIN	TG	ribosomal large subunit export from nucleus	GO:0000055	2	9	3	8.26	0.113	0.048	SORBI_3002G114900;SORBI_3003G366850
BP	Individual lipid species	LIN	TG	ribosomal small subunit export from nucleus	GO:0000056	2	9	3	8.26	0.113	0.048	SORBI_3002G114900;SORBI_3003G366850
BP	Individual lipid species	LIN	TG	signal transduction	GO:0007165	8	167	3	1.78	0.228	0.048	SORBI_3004G044700;SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100;SORBI_3004G045500;SORBI_3004G045700;SORBI_3008G016200;SORBI_3008G077600
BP	Individual lipid species	LIN	TG	DNA repair	GO:0006281	7	151	6	1.72	0.281	0.048	SORBI_3001G211500;SORBI_3001G262700;SORBI_3001G262900;SORBI_3003G107500;SORBI_3004G151000;SORBI_3004G181500;SORBI_3008G101300
BP	Individual lipid species	LIN	TG	phospholipid translocation	GO:0045332	2	9	2	8.26	0.113	0.0495	SORBI_3001G251200;SORBI_3010G171000
