"Phenotype","PhenotypeClean","N_SNPs","Min_P","Lambda","N_GenomeWide","N_Suggestive"
"Sum_MGDG_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta1_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_MGDG_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta1_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,1.577839e-16,1.11714399993478,1443,7605
"Sum_MG_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta3_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_MG_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta3_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,1.601581e-16,0.495488798089507,1061,7158
"Sum_MG_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta2_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_MG_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta2_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,1.736219e-16,0.522023168067142,1630,7297
"Sum_DGDG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05_11.assoc.txt","Sum_DGDG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part01_parta1_SAP_bialleles_MAF_0_05_11_assoc_txt",6106358,1.779489e-16,0.491808724338867,1548,7520
"Sum_DGDG_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta10_SAP_bialleles_MAF_0.05_11.assoc.txt","Sum_DGDG_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part01_parta10_SAP_bialleles_MAF_0_05_11_assoc_txt",6106358,1.81002e-16,0.494905153698465,1526,7768
"Sum_MGDG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta6_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_MGDG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta6_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,1.816873e-16,0.521205822515379,1057,6478
"Sum_DGDG_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta5_SAP_bialleles_MAF_0.05_11.assoc.txt","Sum_DGDG_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part01_parta5_SAP_bialleles_MAF_0_05_11_assoc_txt",6106358,1.838092e-16,0.487323290715654,1365,7447
"Sum_DGDG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta2_SAP_bialleles_MAF_0.05_11.assoc.txt","Sum_DGDG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part01_parta2_SAP_bialleles_MAF_0_05_11_assoc_txt",6106358,1.852588e-16,0.510267971321738,1302,6765
"Sum_MGDG_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta9_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_MGDG_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta9_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,2.06097e-16,0.493673684772331,1305,7233
"Sum_DGDG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta10_SAP_bialleles_MAF_0.05_11.assoc.txt","Sum_DGDG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part01_parta10_SAP_bialleles_MAF_0_05_11_assoc_txt",6106358,2.077296e-16,0.484802592966959,1705,7795
