condition	lipid_class	go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
LIN	MGDG	regulation of DNA-templated transcription	GO:0006355	887	9	4.087074669187145	2.2020640013875643	0.017242686024280415	0.11901658889930139	SORBI_3010G110100;SORBI_3010G111800;SORBI_3010G116000;SORBI_3010G116200;SORBI_3010G120350;SORBI_3010G123500;SORBI_3010G134900;SORBI_3010G148800;SORBI_3010G151325
LIN	AEG	ubiquitin-dependent protein catabolic process	GO:0006511	103	3	0.5597826086956522	5.359223300970873	0.01819757954305104	0.12261702406389154	SORBI_3003G393700;SORBI_3004G332100;SORBI_3004G332500
CTL	TG	regulation of jasmonic acid mediated signaling pathway	GO:2000022	18	3	0.6103497164461248	4.915214866434378	0.021581655840673255	0.1365436264365062	SORBI_3001G259400;SORBI_3001G259600;SORBI_3001G259700
LIN	PC	sodium ion transport	GO:0006814	10	3	0.6356332703213611	4.719702602230483	0.021893796185807345	0.1365436264365062	SORBI_3002G156000;SORBI_3008G179200;SORBI_3009G042700
LIN	PC	detection of stimulus	GO:0051606	10	3	0.6356332703213611	4.719702602230483	0.021893796185807345	0.1365436264365062	SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100
LIN	TG	phospholipid transport	GO:0015914	15	3	0.6220463137996219	4.822792022792023	0.02219437037483846	0.1365436264365062	SORBI_3001G251200;SORBI_3004G158100;SORBI_3010G171000
CTL	TG	plant-type cell wall modification	GO:0009827	34	4	1.152882797731569	3.4695634351301496	0.026983210152019925	0.16057592153565248	SORBI_3001G024400;SORBI_3002G091200;SORBI_3002G091300;SORBI_3003G203900
LIN	PC	lipid transport	GO:0006869	47	7	2.987476370510397	2.3431147670647787	0.027683828679663576	0.16057592153565248	SORBI_3001G128500;SORBI_3001G192000;SORBI_3001G435300;SORBI_3001G436900;SORBI_3001G473200;SORBI_3002G113900;SORBI_3010G159500
CTL	TG	microtubule-based movement	GO:0007018	20	3	0.6781663516068053	4.423693379790941	0.028691007323294104	0.16057592153565248	SORBI_3005G144600;SORBI_3006G035600;SORBI_3007G018700
LIN	PC	response to heat	GO:0009408	28	5	1.779773156899811	2.8093467870419544	0.02964721611889718	0.16057592153565248	SORBI_3001G039700;SORBI_3001G129000;SORBI_3001G264300;SORBI_3001G454000;SORBI_3007G217300
