GeneID	GeneName	conditions	layers	best_p	max_r2	max_nphen
SORBI_3007G103600	GBF-interacting protein 1 N-terminal domain-containing protein	CTL	individual	1.294017e-10	0.932901	4
SORBI_3002G079500	O-methyltransferase domain-containing protein	CTL	individual	1.682984e-10	1.0	4
SORBI_3006G280000		CTL	individual	3.098264e-10	0.402826	4
SORBI_3010G142501	Uncharacterized protein	CTL	individual	3.203925e-10	0.921003	4
SORBI_3006G040301	CCHC-type domain-containing protein	CTL	individual	3.453196e-10	0.965271	4
SORBI_3007G096900	Rad21_Rec8-like protein N-terminal domain-containing protein	CTL	individual	5.403135e-10	0.896874	4
SORBI_3007G097000		CTL	individual	5.403135e-10	0.764291	4
SORBI_3008G094650	Uncharacterized protein	CTL	individual	7.128154e-10	0.623081	4
SORBI_3008G094800	F-box domain-containing protein	CTL	individual	7.128154e-10	0.980461	4
SORBI_3009G091300		CTL	individual	8.793418e-10	0.95107	4
SORBI_3002G364301	Small ribosomal subunit protein eS1	CTL	individual	1.189612e-09	1.0	4
SORBI_3001G259700	Protein TIFY	CTL	individual	1.381723e-09	0.566244	4
SORBI_3001G259850		CTL	individual	1.381723e-09	0.692597	4
SORBI_3001G320101	Uncharacterized protein	CTL	individual	1.394943e-09	0.642857	4
SORBI_3001G305900		CTL	individual	2.237558e-09	0.64035	4
SORBI_3001G306400		CTL	individual	2.237558e-09	0.918254	4
SORBI_3001G306500	Uncharacterized protein	CTL	individual	2.237558e-09	1.0	4
SORBI_3005G146300		CTL	individual	2.708965e-09	0.523048	4
SORBI_3005G146533	CASP-like protein	CTL	individual	2.708965e-09	0.833149	4
SORBI_3005G146800	SCP domain-containing protein	CTL	individual	2.708965e-09	0.900692	4
SORBI_3005G146900	CASP-like protein	CTL	individual	2.708965e-09	0.91239	4
SORBI_3001G223000	Protein kinase domain-containing protein	CTL	individual	3.640201e-09	0.486318	4
SORBI_3001G522600	CW-type domain-containing protein	CTL	individual	4.5016000000000003e-35	1.0	3
SORBI_3002G142600	FCP1 homology domain-containing protein	CTL	individual	6.227707e-19	1.0	3
SORBI_3004G141800		CTL	individual	1.38226e-13	1.0	3
SORBI_3004G228400		CTL	individual	2.644811e-11	0.530354	3
SORBI_3001G126000	Uncharacterized protein	CTL	individual	1.177076e-10	0.762914	3
SORBI_3001G126400	ATP-dependent RNA helicase	CTL	individual	1.177076e-10	0.615229	3
SORBI_3007G112700	Uncharacterized protein	CTL	individual	1.481507e-10	0.435143	3
SORBI_3006G037000	Uncharacterized protein	CTL	individual	4.027253e-10	0.618799	3
SORBI_3006G037100	Uncharacterized protein	CTL	individual	4.027253e-10	0.434498	3
SORBI_3005G202500	Uncharacterized protein	CTL	individual	4.365522e-10	0.837142	3
SORBI_3005G222650	Uncharacterized protein	CTL	individual	4.927144e-10	0.4149	3
SORBI_3005G222700	Protein kinase domain-containing protein	CTL	individual	4.927144e-10	1.0	3
SORBI_3005G222800	Uncharacterized protein	CTL	individual	4.927144e-10	0.672878	3
SORBI_3005G222900		CTL	individual	4.927144e-10	0.506879	3
SORBI_3001G354900		CTL	individual	5.253493e-10	0.419262	3
SORBI_3001G357700	Amino acid permease_ SLC12A domain-containing protein	CTL	individual	5.253493e-10	0.434795	3
SORBI_3004G136100	Uncharacterized protein	CTL	individual	5.927103e-10	0.900561	3
SORBI_3004G136200	Uncharacterized protein	CTL	individual	5.927103e-10	0.888171	3
SORBI_3004G136300	SNARE-interacting protein KEULE	CTL	individual	5.927103e-10	0.89158	3
SORBI_3005G220101	Uncharacterized protein	CTL	individual	6.126551e-10	0.666415	3
SORBI_3005G220300	Protein kinase domain-containing protein	CTL	individual	6.126551e-10	0.965376	3
SORBI_3005G220400	Expansin-like CBD domain-containing protein	CTL	individual	6.126551e-10	0.873901	3
SORBI_3005G220500	Expansin-like CBD domain-containing protein	CTL	individual	6.126551e-10	0.887591	3
SORBI_3005G220560	Expansin-like CBD domain-containing protein	CTL	individual	6.126551e-10	0.887591	3
SORBI_3005G220680	Uncharacterized protein	CTL	individual	6.126551e-10	0.8994	3
SORBI_3005G220740	Leucine-rich repeat-containing N-terminal plant-type domain-containing protein	CTL	individual	6.126551e-10	0.965999	3
SORBI_3005G220800	Protein kinase domain-containing protein (Fragment)	CTL	individual	6.126551e-10	0.892453	3
SORBI_3010G191100	BHLH domain-containing protein	CTL	individual	9.345833e-10	0.429972	3
SORBI_3006G140700	NADP-dependent oxidoreductase domain-containing protein	CTL	individual	9.811013e-10	0.648148	3
SORBI_3005G160100	Replication factor C subunit 1	CTL	individual	1.000672e-09	1.0	3
SORBI_3010G125400	J domain-containing protein	CTL	individual	1.019704e-09	0.909866	3
SORBI_3006G258000		CTL	individual	1.177089e-09	0.469434	3
SORBI_3006G258100		CTL	individual	1.177089e-09	0.469434	3
