Condition,Kind,Trait,n,h2_allmarkers,h2_hetfiltered,lo_allmarkers,lo_hetfiltered,hi_allmarkers,hi_hetfiltered,delta
LIN,species,DGDG(18:0/18:3),357,0.089,0.088,0.012,0.012,0.249,0.247,-0.001
LIN,species,DGDG(18:2/18:3),357,0.543,0.54,0.246,0.244,0.812,0.81,-0.003
LIN,species,DGDG(18:2/18:4),357,0.017,0.017,0,0,0.114,0.113,0
LIN,species,DGTS(34:5),357,0.028,0.027,0,0,0.169,0.167,-0.001
LIN,species,FA(22:1),357,0.149,0.148,0.061,0.06,0.287,0.285,-0.001
LIN,species,GalCer(d18:2/18:1),357,0,0,0,0,0.057,0.056,0
LIN,species,GalCer(d18:2/20:1),357,0.049,0.048,0,0,0.164,0.163,-0.001
LIN,species,Hydroperoxy fatty acid (18:3),357,0.033,0.033,0,0,0.138,0.137,0
LIN,species,LPC(16:0),357,0.021,0.02,0,0,0.106,0.105,-0.001
LIN,species,LPC(18:2),357,0.117,0.116,0.024,0.024,0.286,0.284,-0.001
LIN,species,LPC(18:3),357,0.039,0.038,0,0,0.154,0.153,-0.001
LIN,species,LPE(16:0),357,0,0,0,0,0.092,0.091,0
LIN,species,MG(12:0),357,0.032,0.032,0,0,0.138,0.137,0
LIN,species,MG(16:0),357,0.057,0.057,0.003,0.003,0.178,0.176,0
LIN,species,MG(18:1),357,0.004,0.003,0,0,0.125,0.124,-0.001
LIN,species,MG(18:2),357,0.07,0.069,0,0,0.25,0.248,-0.001
LIN,species,MG(18:3),357,0.059,0.058,0,0,0.193,0.192,-0.001
LIN,species,MGDG(16:0/18:1),357,0.329,0.327,0.162,0.16,0.536,0.534,-0.002
LIN,species,MGDG(16:0/18:3),357,0.102,0.101,0.026,0.026,0.233,0.231,-0.001
LIN,species,MGDG(18:2/18:2),357,0.228,0.226,0.062,0.062,0.457,0.455,-0.002
LIN,species,MGDG(18:2/18:3),357,0.219,0.217,0.068,0.067,0.437,0.434,-0.002
LIN,species,MGDG(18:3/18:3),357,0.042,0.042,0,0,0.159,0.158,0
LIN,species,NAE(16:0),357,0.108,0.107,0,0,0.305,0.303,-0.001
