"Species","Normalized","Class","SuperClass","In_CTL","In_LIN","Status"
"DGDG(18:2/18:4)","DGDG(18:2/18:4)","DGDG","Glycerolipid",TRUE,TRUE,"Common"
"DGTS(34:5)","DGTS(34:5)","Other","Betaine lipid",FALSE,TRUE,"LIN only"
"FA(22:1)","FA(22:1)","Other","Fatty acid",TRUE,TRUE,"Common"
"GalCer(d18:2/18:1)","GalCer(d18:2/18:1)","Other","Sphingolipid",TRUE,TRUE,"Common"
"GalCer(d18:2/20:1)","GalCer(d18:2/20:1)","Other","Sphingolipid",TRUE,TRUE,"Common"
"GalCer(d18:2/22:1)","GalCer(d18:2/22:1)","Other","Sphingolipid",TRUE,FALSE,"CTL only"
"Hydroperoxy fatty acid (18:3)","Hydroperoxy fatty acid (18:3)","Other","Fatty acid",FALSE,TRUE,"LIN only"
"LPC(16:0)","LPC(16:0)","LPC","Glycerophospholipid",TRUE,TRUE,"Common"
"LPC(18:2)","LPC(18:2)","LPC","Glycerophospholipid",FALSE,TRUE,"LIN only"
"LPC(18:3)","LPC(18:3)","LPC","Glycerophospholipid",TRUE,TRUE,"Common"
"LPE(16:0)","LPE(16:0)","LPE","Glycerophospholipid",TRUE,TRUE,"Common"
"MG(12:0)","MG(12:0)","MG","Glycerolipid",TRUE,TRUE,"Common"
"MG(16:0)","MG(16:0)","MG","Glycerolipid",TRUE,TRUE,"Common"
"MG(16:1)","MG(16:1)","MG","Glycerolipid",TRUE,FALSE,"CTL only"
"MG(18:0)","MG(18:0)","MG","Glycerolipid",TRUE,FALSE,"CTL only"
"MG(18:1)","MG(18:1)","MG","Glycerolipid",TRUE,TRUE,"Common"
"MG(18:2)","MG(18:2)","MG","Glycerolipid",TRUE,TRUE,"Common"
"MG(18:3)","MG(18:3)","MG","Glycerolipid",TRUE,TRUE,"Common"
"MG(20:4)","MG(20:4)","MG","Glycerolipid",TRUE,FALSE,"CTL only"
"MGDG(16:0/18:1)","MGDG(16:0/18:1)","MGDG","Glycerolipid",TRUE,TRUE,"Common"
"MGDG(16:0/18:3)","MGDG(16:0/18:3)","MGDG","Glycerolipid",TRUE,TRUE,"Common"
"MGDG(18:2/18:2)","MGDG(18:2/18:2)","MGDG","Glycerolipid",TRUE,TRUE,"Common"
"MGDG(18:2/18:3)","MGDG(18:2/18:3)","MGDG","Glycerolipid",TRUE,TRUE,"Common"
"MGDG(18:3/18:3)","MGDG(18:3/18:3)","MGDG","Glycerolipid",TRUE,TRUE,"Common"
"NAE(16:0)","NAE(16:0)","Other","Fatty acid",FALSE,TRUE,"LIN only"
"NAE(18:0)","NAE(18:0)","Other","Fatty acid",FALSE,TRUE,"LIN only"
"NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid","NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid","Other","Glycerophospholipid",FALSE,TRUE,"LIN only"
"Oxo fatty acid (18:3)","Oxo fatty acid (18:3)","Other","Fatty acid",TRUE,TRUE,"Common"
"PA(16:0/18:1)","PA(16:0/18:1)","PA","Glycerophospholipid",FALSE,TRUE,"LIN only"
