"Lipids","CommonName","Class","Category_Code","SubClass","Sub_subclass"
"AEG(o-15:2/15:0)","AEG(o-15:2/15:0)","Glycerolipids","GL","Acyl‑ether glycerol","AEG"
"AEG(o-16:2/16:0)","AEG(o-16:2/16:0)","Glycerolipids","GL","Acyl‑ether glycerol","AEG"
"AEG(o-16:2/18:2)","AEG(o-16:2/18:2)","Glycerolipids","GL","Acyl‑ether glycerol","AEG"
"AEG(o-16:3/16:0)","AEG(o-16:3/16:0)","Glycerolipids","GL","Acyl‑ether glycerol","AEG"
"AEG(o-18:3/16:1)","AEG(o-18:3/16:1)","Glycerolipids","GL","Acyl‑ether glycerol","AEG"
"AEG(o-18:4/16:1)","AEG(o-18:4/16:1)","Glycerolipids","GL","Acyl‑ether glycerol","AEG"
"AEG(o-18:4/18:2)","AEG(o-18:4/18:2)","Glycerolipids","GL","Acyl‑ether glycerol","AEG"
"Alloxanthin","Alloxanthin","Prenol Lipids","PR","Tetraterpenoid","Xanthophyll carotenoid"
"Alpha-Carotene","Alpha-Carotene","Prenol Lipids","PR","Tetraterpenoid","NA"
"Antheraxanthin","Antheraxanthin","Prenol Lipids","PR","Tetraterpenoid","Xanthophyll carotenoid"
"Apocarotenal","Apocarotenal","Prenol Lipids","PR","Tetraterpenoid","Apolar carotenoid"
"Betulin","Betulin","Prenol Lipids","PR","Triterpenoid","NA"
"Boldenone cypionate","Boldenone cypionate","Sterol Lipids","ST","Androgen","NA"
"CL(18:1)","CL(18:1)","Glycerophospholipids","GP","Cardiolipin","NA"
"Celaxanthin","Celaxanthin","Prenol Lipids","PR","Tetraterpenoid","Xanthophyll carotenoid"
"Cembrane_Diterpene_minus_Me","Cembrane_Diterpene_minus_Me","Prenol Lipids","PR","Diterpenoid","NA"
"Cer(24:1)","Cer(24:1)","Sphingolipids","SP","Sphingolipid","Ceramide"
"Cer(d18:2/20:1)","Cer(d18:2/20:1)","Sphingolipids","SP","Sphingolipid","Ceramides"
"Chamissonolide","Chamissonolide","Prenol Lipids","PR","Sesquiterpenoid","Lactone-type sesquiterpenoid"
"Cholestan-3-one,(5.alpha.)-","Cholestan-3-one,(5.alpha.)-","Sterol Lipids","ST","Sterol","Sterol derivatives"
"Cycloartenol acetate","Cycloartenol acetate","Prenol Lipids","PR","Triterpenoid","Sterol precursor"
"DG(12:0/12:0)","","Glycerolipids","GL","Diacylglycerol","NA"
"DG(16:0/16:0)","","Glycerolipids","GL","Diacylglycerol",""
"DG(16:0/18:0)","","Glycerolipids","GL","Diacylglycerol","DG"
"DG(16:0/18:1)","","Glycerolipids","GL","Diacylglycerol","NA"
"DG(16:0/18:2)","","Glycerolipids","GL","Diacylglycerol","DG"
"DG(16:0/18:3)","","Glycerolipids","GL","Diacylglycerol","DG"
"DG(16:0/2:0)","","Glycerolipids","GL","Diacylglycerol",""
"DG(16:1/18:2)","","Glycerolipids","GL","Diacylglycerol","DG"
"DG(16:1/18:3)","","Glycerolipids","GL","Diacylglycerol",""
"DG(18:0/18:0)","","Glycerolipids","GL","Diacylglycerol","NA"
"DG(18:0/18:2)","","Glycerolipids","GL","Diacylglycerol",""
"DG(18:0/18:2/0:0)","","Glycerophospholipids","GP","Phosphatidylserine","NA"
"DG(18:0/20:3)","","Glycerolipids","GL","Diacylglycerol","DG"
"DG(18:1/18:1)","","Glycerolipids","GL","Diacylglycerol",""
"DG(18:1/18:2)","","Glycerolipids","GL","Diacylglycerol","DG"
"DG(18:1/18:3)","","Glycerolipids","GL","Diacylglycerol",""
"DG(18:1/2:0)","","Glycerolipids","GL","Diacylglycerol","NA"
"DG(18:2/18:2)","","Glycerolipids","GL","Diacylglycerol","NA"
